,0,1
0,0,"0.061*""clinical"" + 0.022*""research"" + 0.022*""products"" + 0.016*""well"" + 0.016*""therapeutic"" + 0.011*""ltd"" + 0.009*""science"" + 0.009*""currently"" + 0.008*""vitro"" + 0.008*""autologous"""
1,1,"0.066*""cells"" + 0.027*""therapies"" + 0.020*""regulatory"" + 0.018*""medicine"" + 0.014*""cell"" + 0.011*""review"" + 0.011*""related"" + 0.010*""many"" + 0.010*""models"" + 0.009*""clinical"""
2,2,"0.026*""trials"" + 0.025*""therapy"" + 0.015*""market"" + 0.015*""current"" + 0.013*""including"" + 0.012*""effects"" + 0.011*""approval"" + 0.009*""therapies"" + 0.008*""recent"" + 0.008*""mscs"""
3,3,"0.030*""development"" + 0.029*""available"" + 0.029*""new"" + 0.020*""medical"" + 0.016*""efficacy"" + 0.015*""approved"" + 0.013*""potential"" + 0.009*""due"" + 0.009*""analysis"" + 0.008*""clinics"""
4,4,"0.041*""based"" + 0.020*""human"" + 0.020*""studies"" + 0.019*""data"" + 0.019*""cell"" + 0.018*""abstract"" + 0.014*""therapy"" + 0.013*""product"" + 0.013*""gene"" + 0.012*""also"""
5,5,"0.084*""cell"" + 0.015*""treatments"" + 0.015*""used"" + 0.015*""results"" + 0.013*""may"" + 0.012*""one"" + 0.011*""health"" + 0.011*""patient"" + 0.010*""effective"" + 0.009*""provide"""
6,6,"0.038*""drug"" + 0.037*""marketing"" + 0.020*""drugs"" + 0.017*""disease"" + 0.016*""products"" + 0.012*""methods"" + 0.011*""however"" + 0.011*""associated"" + 0.010*""administration"" + 0.009*""response"""
7,7,"0.082*""stem"" + 0.065*""patients"" + 0.030*""safety"" + 0.011*""blood"" + 0.010*""clinical"" + 0.009*""also"" + 0.009*""scientific"" + 0.008*""european"" + 0.008*""us"" + 0.008*""public"""
8,8,"0.041*""treatment"" + 0.022*""study"" + 0.011*""using"" + 0.010*""regenerative"" + 0.009*""system"" + 0.009*""information"" + 0.009*""dose"" + 0.009*""hematopoietic"" + 0.008*""rights"" + 0.007*""cord"""
9,9,"0.016*""tissue"" + 0.016*""cancer"" + 0.013*""two"" + 0.013*""high"" + 0.012*""first"" + 0.011*""diseases"" + 0.010*""marketing"" + 0.010*""society"" + 0.009*""different"" + 0.008*""disorders"""
